readership_id,user_id,user_name,email,gender,country_code,company,user_guest,article_id,visit_date,visit_date_timestamp,visit_duration,author_id,serie_id
1049,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,177,4/14/2017,1/31/2017 11:57,5,32,36
1141,8,Angel,asidnell9m@networkadvertising.org,Female,IT,Green and Sons,TRUE,225,6/12/2017,7/12/2017 14:39,8,22,6
1652,4,Aluin,agreenroyd3@github.com,Male,DK,Nordea,TRUE,180,5/29/2017,5/20/2017 21:37,9,32,36
1519,76,Adriano,amartijn4y@digg.com,Male,NO,Mayer-Yundt,FALSE,222,8/3/2017,6/23/2017 17:41,9,22,6
117,12,Carrissa,ccruwysn7@icio.us,Female,SE,Rippin-Osinski,TRUE,214,8/30/2017,7/18/2017 9:09,9,36,9
1132,102,Benedikt,bhrihorovichjz@example.com,Male,FR,Green and Sons,TRUE,145,6/19/2017,2/22/2017 1:17,10,18,17
253,46,Reagan,rsortonla@oracle.com,Male,FR,Casper and Jerde,FALSE,205,5/30/2017,3/8/2017 14:48,10,36,9
302,94,Sherri,skeillohmm@wikipedia.org,Female,DE,Toy LLC,TRUE,153,3/18/2017,1/19/2017 10:19,11,24,17
12,12,Carrissa,ccruwysn7@icio.us,Female,SE,Rippin-Osinski,TRUE,202,7/13/2017,7/15/2017 23:16,13,36,9
285,78,Bernadette,boscanlonp1@unc.edu,Female,FR,Grimes Inc,TRUE,143,5/23/2017,4/25/2017 21:17,14,18,17
583,67,Patrice,pemes4p@discuz.net,Male,US,Mayer-Yundt,FALSE,169,6/3/2017,6/27/2017 6:48,16,32,24
1544,102,Benedikt,bhrihorovichjz@example.com,Male,FR,Green and Sons,TRUE,181,8/5/2017,4/24/2017 10:59,20,32,46
692,73,Alejandro,akerrod7q@arizona.edu,Male,FR,Toy LLC,TRUE,159,4/27/2017,8/14/2017 6:33,20,24,24
194,91,Dorthy,dmattson2i@desdev.cn,Female,US,Casper and Jerde,FALSE,132,8/1/2017,8/14/2017 15:12,20,15,17
669,49,Fernanda,fbullarar@amazonaws.com,Female,FR,Goyette,FALSE,209,4/28/2017,7/10/2017 5:16,21,36,9
1667,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,199,8/4/2017,3/2/2017 11:40,22,45,46
590,73,Alejandro,akerrod7q@arizona.edu,Male,FR,Toy LLC,TRUE,222,7/7/2017,2/22/2017 16:49,22,22,6
1621,76,Adriano,amartijn4y@digg.com,Male,NO,Mayer-Yundt,FALSE,133,8/28/2017,6/17/2017 19:40,23,15,17
1059,27,Darcy,dhancornqh@storify.com,Male,NO,Green and Sons,TRUE,210,2/23/2017,5/12/2017 6:18,24,36,9
962,34,Gwendolin,gmelwall4m@360.cn,Female,FR,Grimes Inc,TRUE,189,7/23/2017,2/9/2017 2:30,24,45,46
99,97,Andrea,ablucher5j@youtube.com,Male,NO,Collier and Stiedemann,TRUE,145,6/14/2017,4/21/2017 3:19,24,18,17
1840,89,Mada,mmacpake90@amazon.co.uk,Female,GB,Casper and Jerde,FALSE,217,6/29/2017,6/8/2017 4:47,27,22,9
286,78,Bernadette,boscanlonp1@unc.edu,Female,FR,Grimes Inc,TRUE,170,5/22/2017,7/6/2017 15:55,27,32,24
783,60,Amberly,ajaineb2@ycombinator.com,Female,SE,Nordea,FALSE,174,7/17/2017,2/1/2017 9:44,31,32,36
1017,89,Mada,mmacpake90@amazon.co.uk,Female,GB,Casper and Jerde,FALSE,210,5/15/2017,5/19/2017 18:52,32,36,9
22,19,Willard,wtayntonkj@sogou.com,Male,SE,Mayer-Yundt,TRUE,220,8/29/2017,3/25/2017 17:15,37,22,6
1105,73,Alejandro,akerrod7q@arizona.edu,Male,FR,Toy LLC,TRUE,154,1/8/2017,6/23/2017 9:58,38,24,17
1045,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,223,4/21/2017,7/30/2017 16:34,38,22,6
693,73,Alejandro,akerrod7q@arizona.edu,Male,FR,Toy LLC,TRUE,137,6/26/2017,8/11/2017 23:46,38,18,17
203,100,Roy,reydene7@altervista.org,Male,DE,Waelchi and Johnson,TRUE,156,3/3/2017,4/27/2017 7:08,39,24,24
910,84,Aksel,atitmankb@webeden.co.uk,Male,US,Berge,FALSE,213,1/26/2017,6/21/2017 19:09,40,36,9
114,8,Angel,asidnell9m@networkadvertising.org,Female,IT,Green and Sons,TRUE,206,5/23/2017,6/28/2017 11:08,41,36,9
1312,76,Adriano,amartijn4y@digg.com,Male,NO,Mayer-Yundt,FALSE,201,5/30/2017,2/25/2017 21:44,43,36,9
354,43,Nicol,nbowheyrr@dedecms.com,Female,GB,Rippin-Osinski,TRUE,184,8/6/2017,2/21/2017 17:29,44,45,46
1014,87,Cornelius,cbrodnecke38@wisc.edu,Male,SE,Rippin-Osinski,FALSE,143,2/23/2017,2/3/2017 16:25,47,18,17
394,84,Aksel,atitmankb@webeden.co.uk,Male,US,Berge,FALSE,157,5/9/2017,3/21/2017 19:38,48,24,24
989,60,Amberly,ajaineb2@ycombinator.com,Female,SE,Nordea,FALSE,221,8/29/2017,6/23/2017 23:55,49,22,6
768,46,Reagan,rsortonla@oracle.com,Male,FR,Casper and Jerde,FALSE,181,8/24/2017,8/21/2017 12:49,49,32,46
1782,31,Catherin,cbrunnlp@deliciousdays.com,Female,SE,Nordea,FALSE,139,4/20/2017,3/5/2017 19:46,51,18,17
1671,19,Willard,wtayntonkj@sogou.com,Male,SE,Mayer-Yundt,TRUE,157,5/11/2017,3/27/2017 21:31,51,24,24
839,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,200,2/1/2017,1/5/2017 9:28,51,45,46
463,49,Fernanda,fbullarar@amazonaws.com,Female,FR,Goyette,FALSE,130,2/25/2017,8/19/2017 16:37,51,15,17
1913,56,Annalise,acrawshayme@about.com,Female,DK,Nordea,FALSE,184,3/19/2017,8/2/2017 7:54,52,45,46
636,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,164,2/1/2017,5/9/2017 14:47,52,24,24
800,78,Bernadette,boscanlonp1@unc.edu,Female,FR,Grimes Inc,TRUE,155,8/16/2017,7/24/2017 13:36,55,24,24
1634,89,Mada,mmacpake90@amazon.co.uk,Female,GB,Casper and Jerde,FALSE,200,7/22/2017,7/14/2017 21:09,56,45,46
766,43,Nicol,nbowheyrr@dedecms.com,Female,GB,Rippin-Osinski,TRUE,171,1/2/2017,1/22/2017 13:24,58,32,36
806,84,Aksel,atitmankb@webeden.co.uk,Male,US,Berge,FALSE,218,5/31/2017,1/13/2017 16:20,61,22,9
644,24,Adria,aespinayqe@baidu.com,Female,FR,Schoen-Marks,FALSE,145,7/5/2017,5/18/2017 0:34,64,18,17
1636,91,Dorthy,dmattson2i@desdev.cn,Female,US,Casper and Jerde,FALSE,213,5/31/2017,7/26/2017 14:48,66,36,9
1067,34,Gwendolin,gmelwall4m@360.cn,Female,FR,Grimes Inc,TRUE,164,3/1/2017,1/10/2017 11:56,70,24,24
332,19,Willard,wtayntonkj@sogou.com,Male,SE,Mayer-Yundt,TRUE,229,8/22/2017,8/16/2017 22:28,71,22,6
1704,56,Annalise,acrawshayme@about.com,Female,DK,Nordea,FALSE,165,4/16/2017,2/25/2017 2:36,72,24,24
1971,12,Carrissa,ccruwysn7@icio.us,Female,SE,Rippin-Osinski,TRUE,149,3/7/2017,8/9/2017 23:06,75,18,17
1063,31,Catherin,cbrunnlp@deliciousdays.com,Female,SE,Nordea,FALSE,130,3/22/2017,7/16/2017 11:21,75,15,17
1867,12,Carrissa,ccruwysn7@icio.us,Female,SE,Rippin-Osinski,TRUE,216,8/4/2017,1/27/2017 16:05,76,22,9
258,52,Albertine,aberrisford7z@house.gov,Female,IT,Rath-Zulauf,TRUE,228,5/11/2017,8/18/2017 10:30,76,22,6
1029,102,Benedikt,bhrihorovichjz@example.com,Male,FR,Green and Sons,TRUE,149,2/4/2017,1/18/2017 9:54,78,18,17
812,91,Dorthy,dmattson2i@desdev.cn,Female,US,Casper and Jerde,FALSE,176,6/29/2017,1/17/2017 6:39,78,32,36
1752,1,Adolf,aordelteb@bloglovin.com,Male,SE,Schuster,TRUE,196,7/21/2017,6/15/2017 7:46,80,45,46
357,46,Reagan,rsortonla@oracle.com,Male,FR,Casper and Jerde,FALSE,187,4/10/2017,1/22/2017 22:16,81,45,46
222,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,131,7/22/2017,2/17/2017 20:42,87,15,17
1151,15,Melitta,mnottiqz@upenn.edu,Female,FI,Nordea,FALSE,167,1/11/2017,3/28/2017 13:46,89,24,24
83,81,Wendie,wbaudyn3@hatena.ne.jp,Female,DK,Waelchi and Johnson,TRUE,130,1/15/2017,8/12/2017 1:33,91,15,17
1061,31,Catherin,cbrunnlp@deliciousdays.com,Female,SE,Nordea,FALSE,145,7/19/2017,7/8/2017 4:08,92,18,17
1370,31,Catherin,cbrunnlp@deliciousdays.com,Female,SE,Nordea,FALSE,157,5/1/2017,4/1/2017 0:39,93,24,24
467,52,Albertine,aberrisford7z@house.gov,Female,IT,Rath-Zulauf,TRUE,221,8/19/2017,6/7/2017 13:41,93,22,6
465,52,Albertine,aberrisford7z@house.gov,Female,IT,Rath-Zulauf,TRUE,231,7/13/2017,3/30/2017 7:29,93,22,6
27,27,Darcy,dhancornqh@storify.com,Male,NO,Green and Sons,TRUE,169,6/17/2017,6/7/2017 9:51,95,32,24
1629,84,Aksel,atitmankb@webeden.co.uk,Male,US,Berge,FALSE,125,5/21/2017,8/3/2017 1:31,97,15,17
340,31,Catherin,cbrunnlp@deliciousdays.com,Female,SE,Nordea,FALSE,216,7/5/2017,6/14/2017 18:01,97,22,9
1392,52,Albertine,aberrisford7z@house.gov,Female,IT,Rath-Zulauf,TRUE,219,6/6/2017,7/17/2017 21:06,98,22,6
1012,84,Aksel,atitmankb@webeden.co.uk,Male,US,Berge,FALSE,180,8/29/2017,2/14/2017 6:43,102,32,36
717,97,Andrea,ablucher5j@youtube.com,Male,NO,Collier and Stiedemann,TRUE,198,5/11/2017,4/25/2017 16:50,102,45,46
